"filename", "language", "C++", "Makefile", "comment", "blank", "total"
"c:\Users\Lenovo\Documents\GitHub\BANK-CLUSTER3-PROJECT\BankAccount.cpp", "C++", 664, 0, 13, 11, 688
"c:\Users\Lenovo\Documents\GitHub\BANK-CLUSTER3-PROJECT\BankAccount.h", "C++", 87, 0, 29, 0, 116
"c:\Users\Lenovo\Documents\GitHub\BANK-CLUSTER3-PROJECT\BankClerk.cpp", "C++", 47, 0, 0, 2, 49
"c:\Users\Lenovo\Documents\GitHub\BANK-CLUSTER3-PROJECT\BankClerk.h", "C++", 24, 0, 0, 0, 24
"c:\Users\Lenovo\Documents\GitHub\BANK-CLUSTER3-PROJECT\Customer.cpp", "C++", 58, 0, 0, 0, 58
"c:\Users\Lenovo\Documents\GitHub\BANK-CLUSTER3-PROJECT\Customer.h", "C++", 24, 0, 1, 0, 25
"c:\Users\Lenovo\Documents\GitHub\BANK-CLUSTER3-PROJECT\Information.cpp", "C++", 358, 0, 5, 0, 363
"c:\Users\Lenovo\Documents\GitHub\BANK-CLUSTER3-PROJECT\Information.h", "C++", 57, 0, 15, 0, 72
"c:\Users\Lenovo\Documents\GitHub\BANK-CLUSTER3-PROJECT\Makefile", "Makefile", 0, 9, 5, 4, 18
"c:\Users\Lenovo\Documents\GitHub\BANK-CLUSTER3-PROJECT\MoneyExchange.cpp", "C++", 162, 0, 2, 4, 168
"c:\Users\Lenovo\Documents\GitHub\BANK-CLUSTER3-PROJECT\MoneyExchange.h", "C++", 34, 0, 0, 1, 35
"c:\Users\Lenovo\Documents\GitHub\BANK-CLUSTER3-PROJECT\UI.cpp", "C++", 512, 0, 15, 17, 544
"c:\Users\Lenovo\Documents\GitHub\BANK-CLUSTER3-PROJECT\UI.h", "C++", 44, 0, 4, 1, 49
"c:\Users\Lenovo\Documents\GitHub\BANK-CLUSTER3-PROJECT\main.cpp", "C++", 125, 0, 0, 3, 128
"Total", "-", 2196, 9, 89, 43, 2337
