YPY(Yen),100,30,2020-10-22,15:08:48
USD(Dollar),100,3123,2020-10-22,15:14:37
USD(Dollar),10,312.3,2020-10-22,15:17:34
YPY(Yen),1,0.3,2020-10-22,15:23:21
YPY(Yen),1,0.3,2020-10-22,15:28:39
YPY(Yen),500,150,2020-10-22,15:30:14
EUR(Euro),4000,148120,2020-10-22,15:34:29
USD(Dollar),2000,62460,2020-10-22,16:48:07
KRW(Won),200000,6000,2020-10-22,16:50:51
GBP(Pound),600,24468,2020-10-22,16:52:18
CNY(Yuan),10000,46900,2020-10-22,16:56:18
CNY(Yuan),500,2345,2020-10-22,16:58:36
KRW(Won),50000,1500,2020-10-22,17:04:09
YPY(Yen),50,15,2020-10-22,23:22:54
GBP(Pound),500,20390,2020-10-22,23:37:44
YPY(Yen),500,150,2020-10-23,01:36:37
